order_id,customer_id,product_id,order_date,quantity,amount,status
ORD-000032,CUST-00136,PROD-0081,2025-02-11,1,283.97,delivered
ORD-000033,CUST-00555,PROD-0052,2025-06-29,3,771.51,returned
ORD-000034,CUST-00404,PROD-0091,2026-04-27,1,42.5,cancelled
ORD-000035,CUST-00892,PROD-0033,2026-06-16,1,403.57,delivered
ORD-000036,CUST-00865,PROD-0081,2026-03-29,2,567.94,delivered
ORD-000037,CUST-00602,PROD-0042,2025-10-12,1,435.6,delivered
ORD-000038,CUST-00807,PROD-0076,2025-07-05,1,74.18,delivered
ORD-000039,CUST-00341,PROD-0027,2026-03-23,1,408.89,returned
ORD-000040,CUST-00757,PROD-0008,2026-05-19,1,372.08,returned
ORD-000041,CUST-00945,PROD-0023,2025-04-04,1,316.8,delivered
ORD-000042,CUST-00704,PROD-0064,2026-04-27,4,873.48,delivered
ORD-000043,CUST-00318,PROD-0093,2025-12-23,1,386.81,shipped
ORD-000044,CUST-00618,PROD-0020,2026-02-23,3,1238.43,delivered
ORD-000045,CUST-00363,PROD-0016,2025-12-08,2,529.98,delivered
ORD-000046,CUST-00822,PROD-0017,2025-11-25,1,289.95,delivered
ORD-000047,CUST-00382,PROD-0080,2025-04-18,1,297.2,delivered
ORD-000048,CUST-00233,PROD-0019,2025-06-14,2,370.88,processing
ORD-000049,CUST-00777,PROD-0008,2025-12-04,3,1116.24,delivered
ORD-000050,CUST-00344,PROD-0038,2026-02-26,1,48.56,returned
ORD-000051,CUST-00549,PROD-0038,2026-05-23,1,48.56,cancelled
ORD-000052,CUST-00817,PROD-0053,2025-10-23,1,243.0,delivered
ORD-000053,CUST-00553,PROD-0093,2026-02-15,1,386.81,delivered
ORD-000054,CUST-00529,PROD-0100,2026-07-18,1,145.73,delivered
ORD-000055,CUST-00856,PROD-0090,2025-02-07,2,625.22,cancelled
ORD-000056,CUST-00789,PROD-0031,2026-04-11,1,100.48,delivered
ORD-000057,CUST-00819,PROD-0044,2025-04-01,2,886.08,delivered
ORD-000058,CUST-00571,PROD-0060,2025-11-19,2,741.5,delivered
ORD-000059,CUST-00935,PROD-0076,2025-09-16,1,74.18,delivered
ORD-000060,CUST-00183,PROD-0017,2025-11-28,1,289.95,processing
ORD-000061,CUST-00041,PROD-0079,2025-04-29,2,679.98,delivered
ORD-000062,CUST-00551,PROD-0073,2026-02-18,2,747.56,delivered
ORD-000063,CUST-00397,PROD-0039,2026-06-11,2,797.0,returned
ORD-000064,CUST-00704,PROD-0042,2025-01-02,1,435.6,delivered
ORD-000065,CUST-00779,PROD-0048,2026-07-10,1,398.28,delivered
ORD-000066,CUST-00494,PROD-0012,2026-04-19,1,101.25,delivered
ORD-000067,CUST-00659,PROD-0096,2026-02-28,1,134.32,delivered
ORD-000068,CUST-00907,PROD-0089,2025-02-25,2,308.8,delivered
ORD-000069,CUST-00333,PROD-0018,2025-07-12,1,361.49,delivered
ORD-000070,CUST-00127,PROD-0079,2026-06-15,2,679.98,delivered
ORD-000071,CUST-00558,PROD-0096,2026-01-06,1,134.32,returned
ORD-000072,CUST-00557,PROD-0006,2026-05-26,2,116.4,delivered
ORD-000073,CUST-00001,PROD-0043,2026-03-29,4,779.92,delivered
ORD-000074,CUST-00168,PROD-0035,2025-02-22,1,78.62,delivered
ORD-000075,CUST-00620,PROD-0098,2025-07-28,3,948.12,delivered
ORD-000076,CUST-00019,PROD-0054,2025-10-01,1,327.08,delivered
ORD-000077,CUST-00332,PROD-0062,2026-07-17,1,323.09,processing
ORD-000078,CUST-00584,PROD-0069,2025-05-15,2,749.54,delivered
ORD-000079,CUST-00456,PROD-0082,2025-10-22,3,499.02,delivered
ORD-000080,CUST-00957,PROD-0016,2026-03-25,1,264.99,delivered
ORD-000081,CUST-00109,PROD-0008,2026-05-12,1,372.08,delivered
ORD-000082,CUST-00268,PROD-0089,2025-05-05,2,308.8,delivered
ORD-000083,CUST-00445,PROD-0096,2025-01-30,2,268.64,returned
ORD-000084,CUST-00240,PROD-0090,2025-09-03,1,312.61,delivered
ORD-000085,CUST-00929,PROD-0086,2025-06-12,2,579.5,shipped
ORD-000086,CUST-00301,PROD-0031,2025-11-15,1,100.48,shipped
ORD-000087,CUST-00602,PROD-0010,2026-07-19,1,351.72,cancelled
ORD-000088,CUST-00103,PROD-0056,2025-01-15,1,46.78,shipped
ORD-000089,CUST-00988,PROD-0076,2026-07-20,1,74.18,delivered
ORD-000090,CUST-00250,PROD-0092,2026-02-22,3,265.8,delivered
ORD-000091,CUST-00453,PROD-0070,2025-04-06,1,158.82,returned
ORD-000092,CUST-00520,PROD-0020,2025-08-19,3,1238.43,delivered
ORD-000093,CUST-00153,PROD-0005,2025-04-27,1,230.04,delivered
ORD-000094,CUST-00859,PROD-0023,2026-04-18,2,633.6,processing
ORD-000095,CUST-00174,PROD-0009,2025-05-01,2,357.24,delivered
ORD-000096,CUST-00343,PROD-0058,2025-06-07,2,188.18,delivered
ORD-000097,CUST-00670,PROD-0059,2026-05-26,1,387.88,returned
ORD-000098,CUST-00431,PROD-0093,2025-10-26,1,386.81,delivered
ORD-000099,CUST-00727,PROD-0080,2026-06-06,2,594.4,delivered
ORD-000100,CUST-00689,PROD-0054,2025-10-07,2,654.16,processing
ORD-000101,CUST-00687,PROD-0046,2026-03-02,1,289.99,delivered
ORD-000102,CUST-00852,PROD-0022,2026-05-10,2,162.36,delivered
ORD-000103,CUST-00850,PROD-0064,2026-04-29,1,218.37,delivered
ORD-000104,CUST-00658,PROD-0008,2025-09-07,1,372.08,shipped
ORD-000105,CUST-00962,PROD-0020,2026-04-13,2,825.62,shipped
ORD-000106,CUST-00324,PROD-0051,2026-07-19,1,17.52,shipped
ORD-000107,CUST-00990,PROD-0078,2025-05-29,2,418.5,delivered
ORD-000108,CUST-00673,PROD-0039,2026-01-28,1,398.5,returned
ORD-000109,CUST-00639,PROD-0037,2025-07-15,1,281.5,delivered
ORD-000110,CUST-00420,PROD-0050,2026-06-05,1,83.06,delivered
ORD-000111,CUST-00594,PROD-0034,2025-05-20,1,298.58,shipped
ORD-000112,CUST-00485,PROD-0075,2025-03-13,2,234.12,delivered
ORD-000113,CUST-00659,PROD-0033,2025-10-10,1,403.57,delivered
ORD-000114,CUST-00751,PROD-0031,2026-03-01,1,100.48,cancelled
ORD-000115,CUST-00412,PROD-0054,2025-12-15,1,327.08,delivered
ORD-000116,CUST-00936,PROD-0044,2026-06-04,1,443.04,delivered
ORD-000117,CUST-00084,PROD-0034,2025-10-01,2,597.16,delivered
ORD-000118,CUST-00113,PROD-0071,2025-01-03,1,88.11,shipped
ORD-000119,CUST-00737,PROD-0062,2025-10-17,2,646.18,delivered
ORD-000120,CUST-00332,PROD-0023,2025-11-02,3,950.4,processing
ORD-000121,CUST-00378,PROD-0046,2026-05-17,2,579.98,delivered
ORD-000122,CUST-00755,PROD-0056,2025-06-02,2,93.56,delivered
ORD-000123,CUST-00655,PROD-0007,2026-04-03,1,299.67,delivered
ORD-000124,CUST-00041,PROD-0089,2026-07-06,1,154.4,delivered
ORD-000125,CUST-00935,PROD-0061,2026-05-11,3,746.61,delivered
ORD-000126,CUST-00770,PROD-0003,2025-12-20,2,820.48,delivered
ORD-000127,CUST-00959,PROD-0038,2025-12-07,2,97.12,shipped
ORD-000128,CUST-00797,PROD-0084,2026-07-20,2,436.84,delivered
ORD-000129,CUST-00105,PROD-0034,2026-07-11,1,298.58,delivered
ORD-000130,CUST-00202,PROD-0044,2026-01-22,1,443.04,returned
ORD-000131,CUST-00450,PROD-0030,2026-04-12,2,147.26,delivered
ORD-000132,CUST-00819,PROD-0017,2025-11-26,2,579.9,delivered
ORD-000133,CUST-00843,PROD-0059,2025-07-13,1,387.88,delivered
ORD-000134,CUST-00973,PROD-0010,2025-09-02,3,1055.16,shipped
ORD-000135,CUST-00266,PROD-0099,2026-08-09,1,236.54,shipped
ORD-000136,CUST-00910,PROD-0084,2026-01-28,1,218.42,processing
ORD-000137,CUST-00210,PROD-0018,2025-08-28,3,1084.47,delivered
ORD-000138,CUST-00563,PROD-0045,2026-02-25,2,609.1,delivered
ORD-000139,CUST-00118,PROD-0091,2025-02-14,1,42.5,cancelled
ORD-000140,CUST-00713,PROD-0059,2025-11-22,1,387.88,delivered
ORD-000141,CUST-00377,PROD-0062,2026-04-30,1,323.09,delivered
ORD-000142,CUST-00551,PROD-0059,2026-01-26,2,775.76,delivered
ORD-000143,CUST-00540,PROD-0049,2026-01-31,1,199.24,delivered
ORD-000144,CUST-00771,PROD-0100,2025-06-05,2,291.46,processing
ORD-000145,CUST-00084,PROD-0063,2026-05-23,3,449.07,delivered
ORD-000146,CUST-00454,PROD-0087,2025-02-07,2,134.6,delivered
ORD-000147,CUST-00667,PROD-0032,2025-05-10,1,92.69,cancelled
ORD-000148,CUST-00629,PROD-0010,2026-05-30,2,703.44,delivered
ORD-000149,CUST-00514,PROD-0011,2025-12-06,1,434.44,returned
ORD-000150,CUST-00605,PROD-0070,2025-04-13,1,158.82,delivered
ORD-000151,CUST-00678,PROD-0062,2026-03-27,1,323.09,delivered
ORD-000152,CUST-00387,PROD-0047,2025-04-13,1,84.69,delivered
ORD-000153,CUST-00912,PROD-0034,2026-06-23,3,895.74,processing
ORD-000154,CUST-00350,PROD-0100,2026-04-13,1,145.73,processing
ORD-000155,CUST-00296,PROD-0017,2025-01-16,1,289.95,processing
ORD-000156,CUST-00258,PROD-0054,2025-05-28,3,981.24,delivered
ORD-000157,CUST-00081,PROD-0076,2026-02-24,1,74.18,delivered
ORD-000158,CUST-00937,PROD-0085,2025-06-08,2,881.7,shipped
ORD-000159,CUST-00268,PROD-0040,2025-03-18,1,363.98,delivered
ORD-000160,CUST-00419,PROD-0019,2026-04-26,1,185.44,delivered
ORD-000161,CUST-00235,PROD-0067,2025-09-29,3,506.16,delivered
ORD-000162,CUST-00833,PROD-0082,2025-12-13,1,166.34,delivered
ORD-000163,CUST-00311,PROD-0053,2026-02-12,1,243.0,delivered
ORD-000164,CUST-00813,PROD-0064,2025-03-24,1,218.37,delivered
ORD-000165,CUST-00975,PROD-0083,2025-12-03,1,380.55,delivered
ORD-000166,CUST-00986,PROD-0047,2026-07-01,1,84.69,delivered
ORD-000167,CUST-00357,PROD-0006,2026-01-25,1,58.2,shipped
ORD-000168,CUST-00213,PROD-0016,2025-11-21,1,264.99,delivered
ORD-000169,CUST-00574,PROD-0072,2026-05-15,2,647.72,shipped
ORD-000170,CUST-00049,PROD-0018,2026-07-09,1,361.49,delivered
ORD-000171,CUST-00127,PROD-0052,2025-02-06,1,257.17,delivered
ORD-000172,CUST-00223,PROD-0048,2025-03-12,1,398.28,delivered
ORD-000173,CUST-00921,PROD-0043,2025-08-29,3,584.94,delivered
ORD-000174,CUST-00279,PROD-0039,2025-10-22,3,1195.5,shipped
ORD-000175,CUST-00408,PROD-0049,2025-08-21,2,398.48,returned
ORD-000176,CUST-00505,PROD-0012,2025-04-03,3,303.75,delivered
ORD-000177,CUST-00294,PROD-0010,2026-03-21,1,351.72,delivered
ORD-000178,CUST-00796,PROD-0071,2025-04-11,1,88.11,delivered
ORD-000179,CUST-00277,PROD-0055,2025-04-13,1,401.93,shipped
ORD-000180,CUST-00438,PROD-0001,2026-03-31,2,81.12,shipped
ORD-000181,CUST-00107,PROD-0049,2025-06-20,1,199.24,delivered
ORD-000182,CUST-00658,PROD-0036,2025-11-03,1,204.86,delivered
ORD-000183,CUST-00420,PROD-0021,2025-01-30,4,981.88,delivered
ORD-000184,CUST-00611,PROD-0037,2025-02-17,2,563.0,returned
ORD-000185,CUST-00429,PROD-0024,2025-11-29,1,359.45,delivered
ORD-000186,CUST-00375,PROD-0055,2025-02-27,2,803.86,delivered
ORD-000187,CUST-00073,PROD-0025,2025-10-28,1,150.74,delivered
ORD-000188,CUST-00949,PROD-0007,2026-01-03,1,299.67,returned
ORD-000189,CUST-00998,PROD-0081,2026-01-19,1,283.97,shipped
ORD-000190,CUST-00634,PROD-0093,2026-03-18,1,386.81,delivered
ORD-000191,CUST-00030,PROD-0094,2025-05-30,1,111.5,delivered
ORD-000192,CUST-00188,PROD-0071,2025-09-08,2,176.22,shipped
ORD-000193,CUST-00364,PROD-0097,2026-06-28,1,293.58,delivered
ORD-000194,CUST-00866,PROD-0071,2026-02-26,1,88.11,delivered
ORD-000195,CUST-00800,PROD-0024,2026-08-03,1,359.45,delivered
ORD-000196,CUST-00451,PROD-0011,2025-07-04,1,434.44,delivered
ORD-000197,CUST-00195,PROD-0073,2025-06-24,3,1121.34,delivered
ORD-000198,CUST-00156,PROD-0012,2025-06-29,1,101.25,delivered
ORD-000199,CUST-00172,PROD-0035,2025-03-22,3,235.86,delivered
ORD-000200,CUST-00847,PROD-0063,2026-01-27,4,598.76,delivered
ORD-000201,CUST-00041,PROD-0068,2025-09-04,1,228.47,delivered
ORD-000202,CUST-00063,PROD-0100,2026-05-25,1,145.73,delivered
ORD-000203,CUST-00023,PROD-0092,2025-05-27,2,177.2,cancelled
ORD-000204,CUST-00360,PROD-0057,2025-08-26,4,1329.6,processing
ORD-000205,CUST-00075,PROD-0013,2026-04-18,2,482.44,processing
ORD-000206,CUST-00560,PROD-0023,2025-09-18,2,633.6,delivered
ORD-000207,CUST-00672,PROD-0083,2026-04-16,2,761.1,delivered
ORD-000208,CUST-00825,PROD-0039,2025-09-19,1,398.5,delivered
ORD-000209,CUST-00118,PROD-0088,2025-01-10,1,308.17,delivered
ORD-000210,CUST-00612,PROD-0080,2026-04-22,2,594.4,shipped
ORD-000211,CUST-00380,PROD-0097,2025-10-22,2,587.16,shipped
ORD-000212,CUST-00929,PROD-0012,2026-07-14,1,101.25,delivered
ORD-000213,CUST-00920,PROD-0034,2025-06-11,1,298.58,delivered
ORD-000214,CUST-00679,PROD-0071,2025-03-17,1,88.11,delivered
ORD-000215,CUST-00290,PROD-0075,2026-03-29,1,117.06,delivered
ORD-000216,CUST-00440,PROD-0031,2025-12-20,3,301.44,delivered
ORD-000217,CUST-00668,PROD-0093,2025-11-03,1,386.81,delivered
ORD-000218,CUST-00933,PROD-0062,2026-03-11,1,323.09,delivered
ORD-000219,CUST-00007,PROD-0013,2025-09-14,1,241.22,delivered
ORD-000220,CUST-00196,PROD-0031,2026-04-13,1,100.48,delivered
ORD-000221,CUST-00421,PROD-0002,2025-11-06,1,215.2,processing
ORD-000222,CUST-00568,PROD-0015,2025-07-23,1,359.27,returned
ORD-000223,CUST-00833,PROD-0057,2026-01-29,1,332.4,delivered
ORD-000224,CUST-00193,PROD-0075,2026-05-10,1,117.06,delivered
ORD-000225,CUST-00559,PROD-0034,2025-04-20,1,298.58,delivered
ORD-000226,CUST-00148,PROD-0068,2025-08-31,1,228.47,returned
ORD-000227,CUST-00787,PROD-0075,2026-01-26,3,351.18,shipped
ORD-000228,CUST-00669,PROD-0029,2026-08-09,1,442.78,delivered
ORD-000229,CUST-00202,PROD-0066,2026-01-03,1,213.16,delivered
ORD-000230,CUST-00444,PROD-0016,2026-08-12,2,529.98,delivered
ORD-000231,CUST-00914,PROD-0039,2025-10-30,1,398.5,delivered
ORD-000232,CUST-00988,PROD-0077,2025-10-30,2,328.8,delivered
ORD-000233,CUST-00419,PROD-0037,2025-01-23,1,281.5,processing
ORD-000234,CUST-00427,PROD-0081,2026-02-10,1,283.97,processing
ORD-000235,CUST-00479,PROD-0021,2025-10-09,2,490.94,processing
ORD-000236,CUST-00475,PROD-0044,2025-01-09,3,1329.12,delivered
ORD-000237,CUST-00126,PROD-0019,2026-08-03,1,185.44,delivered
ORD-000238,CUST-00395,PROD-0071,2025-02-20,1,88.11,delivered
ORD-000239,CUST-00817,PROD-0008,2026-05-24,1,372.08,delivered
ORD-000240,CUST-00881,PROD-0077,2025-10-21,3,493.2,delivered
ORD-000241,CUST-00806,PROD-0066,2025-08-24,3,639.48,delivered
ORD-000242,CUST-00576,PROD-0041,2025-12-27,1,233.28,delivered
ORD-000243,CUST-00325,PROD-0075,2025-08-13,1,117.06,delivered
ORD-000244,CUST-00392,PROD-0088,2025-07-14,1,308.17,delivered
ORD-000245,CUST-00930,PROD-0070,2025-09-14,1,158.82,delivered
ORD-000246,CUST-00688,PROD-0061,2025-05-21,1,248.87,delivered
ORD-000247,CUST-00628,PROD-0026,2025-04-10,1,387.44,cancelled
ORD-000248,CUST-00440,PROD-0071,2025-02-10,2,176.22,delivered
ORD-000249,CUST-00204,PROD-0083,2025-11-13,3,1141.65,delivered
ORD-000250,CUST-00486,PROD-0070,2026-03-28,4,635.28,delivered
ORD-000251,CUST-00833,PROD-0029,2025-02-04,1,442.78,processing
ORD-000252,CUST-00031,PROD-0066,2026-01-09,1,213.16,delivered
ORD-000253,CUST-00388,PROD-0019,2025-05-15,2,370.88,delivered
ORD-000254,CUST-00625,PROD-0068,2025-04-03,1,228.47,shipped
ORD-000255,CUST-00877,PROD-0058,2025-10-30,2,188.18,delivered
ORD-000256,CUST-00434,PROD-0070,2025-12-01,1,158.82,processing
ORD-000257,CUST-00837,PROD-0057,2026-03-02,1,332.4,delivered
ORD-000258,CUST-00926,PROD-0037,2025-06-29,1,281.5,shipped
ORD-000259,CUST-00376,PROD-0061,2025-07-25,1,248.87,processing
ORD-000260,CUST-00344,PROD-0092,2025-05-16,2,177.2,delivered
ORD-000261,CUST-00443,PROD-0030,2026-07-07,1,73.63,returned
ORD-000262,CUST-00579,PROD-0071,2026-01-10,1,88.11,delivered
ORD-000263,CUST-00075,PROD-0073,2026-06-28,1,373.78,delivered
ORD-000264,CUST-00557,PROD-0025,2026-05-29,2,301.48,delivered
ORD-000265,CUST-00772,PROD-0097,2025-10-07,1,293.58,delivered
ORD-000266,CUST-00666,PROD-0065,2025-06-18,1,371.88,delivered
ORD-000267,CUST-00155,PROD-0006,2025-09-21,1,58.2,delivered
ORD-000268,CUST-00430,PROD-0018,2026-05-09,1,361.49,delivered
ORD-000269,CUST-00363,PROD-0010,2025-10-30,1,351.72,shipped
ORD-000270,CUST-00448,PROD-0092,2025-12-13,2,177.2,processing
ORD-000271,CUST-00987,PROD-0011,2025-04-28,1,434.44,delivered
ORD-000272,CUST-00234,PROD-0097,2026-04-25,1,293.58,delivered
ORD-000273,CUST-00563,PROD-0065,2025-03-19,2,743.76,delivered
ORD-000274,CUST-00818,PROD-0077,2025-05-25,1,164.4,delivered
ORD-000275,CUST-00262,PROD-0084,2025-08-20,1,218.42,delivered
ORD-000276,CUST-00827,PROD-0065,2026-02-11,1,371.88,delivered
ORD-000277,CUST-00125,PROD-0052,2026-07-25,1,257.17,delivered
ORD-000278,CUST-00911,PROD-0067,2026-01-10,2,337.44,delivered
ORD-000279,CUST-00245,PROD-0082,2025-04-03,2,332.68,delivered
ORD-000280,CUST-00542,PROD-0078,2026-02-09,2,418.5,delivered
ORD-000281,CUST-00938,PROD-0031,2025-01-15,2,200.96,delivered
ORD-000282,CUST-00485,PROD-0091,2025-09-28,1,42.5,delivered
ORD-000283,CUST-00122,PROD-0017,2026-07-04,1,289.95,delivered
ORD-000284,CUST-00125,PROD-0055,2025-05-07,1,401.93,delivered
ORD-000285,CUST-00549,PROD-0093,2026-04-11,1,386.81,delivered
ORD-000286,CUST-00170,PROD-0036,2026-01-13,4,819.44,delivered
ORD-000287,CUST-00124,PROD-0026,2025-09-26,2,774.88,returned
ORD-000288,CUST-00869,PROD-0053,2026-01-26,1,243.0,delivered
ORD-000289,CUST-00035,PROD-0017,2026-01-16,1,289.95,returned
ORD-000290,CUST-00087,PROD-0086,2025-04-21,1,289.75,delivered
ORD-000291,CUST-00646,PROD-0025,2025-08-28,1,150.74,cancelled
ORD-000292,CUST-00708,PROD-0002,2026-04-28,1,215.2,delivered
ORD-000293,CUST-00786,PROD-0086,2025-01-26,1,289.75,cancelled
ORD-000294,CUST-00201,PROD-0005,2026-07-29,2,460.08,shipped
ORD-000295,CUST-00369,PROD-0004,2025-12-02,2,495.9,processing
ORD-000296,CUST-00797,PROD-0036,2025-08-15,1,204.86,delivered
ORD-000297,CUST-00077,PROD-0006,2025-03-06,1,58.2,cancelled
ORD-000298,CUST-00059,PROD-0021,2026-04-21,1,245.47,delivered
ORD-000299,CUST-00431,PROD-0077,2025-11-06,2,328.8,delivered
ORD-000300,CUST-00638,PROD-0089,2026-02-23,2,308.8,delivered
ORD-000301,CUST-00500,PROD-0026,2025-04-30,3,1162.32,delivered
ORD-000302,CUST-00913,PROD-0055,2025-05-24,1,401.93,delivered
ORD-000303,CUST-00109,PROD-0039,2025-02-16,2,797.0,delivered
ORD-000304,CUST-00736,PROD-0084,2025-02-08,1,218.42,cancelled
ORD-000305,CUST-00278,PROD-0033,2025-11-08,1,403.57,returned
ORD-000306,CUST-00068,PROD-0014,2026-05-20,1,137.77,delivered
ORD-000307,CUST-00069,PROD-0056,2025-04-29,1,46.78,delivered
ORD-000308,CUST-00165,PROD-0100,2025-04-10,2,291.46,delivered
ORD-000309,CUST-00489,PROD-0081,2025-08-29,1,283.97,delivered
ORD-000310,CUST-00305,PROD-0021,2026-07-05,1,245.47,shipped
ORD-000311,CUST-00909,PROD-0046,2025-05-19,1,289.99,delivered
ORD-000312,CUST-00674,PROD-0016,2026-02-02,1,264.99,delivered
ORD-000313,CUST-00365,PROD-0016,2026-04-10,1,264.99,delivered
ORD-000314,CUST-00854,PROD-0084,2026-01-15,1,218.42,returned
ORD-000315,CUST-00821,PROD-0029,2026-07-08,1,442.78,processing
ORD-000316,CUST-00379,PROD-0092,2026-03-06,1,88.6,cancelled
ORD-000317,CUST-00343,PROD-0008,2025-06-08,4,1488.32,delivered
ORD-000318,CUST-00947,PROD-0088,2026-03-01,1,308.17,delivered
ORD-000319,CUST-00899,PROD-0003,2025-04-12,1,410.24,delivered
ORD-000320,CUST-00554,PROD-0089,2026-05-17,1,154.4,delivered
ORD-000321,CUST-00354,PROD-0019,2026-02-22,2,370.88,delivered
ORD-000322,CUST-00416,PROD-0097,2025-10-14,2,587.16,delivered
ORD-000323,CUST-00109,PROD-0066,2025-02-03,1,213.16,shipped
ORD-000324,CUST-00563,PROD-0079,2026-01-15,1,339.99,delivered
ORD-000325,CUST-00762,PROD-0086,2025-08-11,2,579.5,delivered
ORD-000326,CUST-00497,PROD-0074,2026-03-31,2,112.16,processing
ORD-000327,CUST-00341,PROD-0082,2026-04-01,2,332.68,delivered
ORD-000328,CUST-00942,PROD-0022,2025-08-30,3,243.54,delivered
ORD-000329,CUST-00383,PROD-0046,2026-01-07,3,869.97,delivered
ORD-000330,CUST-00533,PROD-0091,2025-04-12,1,42.5,processing
ORD-000331,CUST-00300,PROD-0013,2026-01-12,1,241.22,returned
ORD-000332,CUST-00139,PROD-0033,2026-07-12,2,807.14,delivered
ORD-000333,CUST-00359,PROD-0005,2026-01-03,2,460.08,shipped
ORD-000334,CUST-00836,PROD-0090,2025-03-04,1,312.61,delivered
ORD-000335,CUST-00499,PROD-0077,2026-02-12,4,657.6,delivered
ORD-000336,CUST-00385,PROD-0027,2025-10-10,1,408.89,processing
ORD-000337,CUST-00604,PROD-0078,2025-07-14,1,209.25,delivered
ORD-000338,CUST-00959,PROD-0024,2025-05-06,3,1078.35,delivered
ORD-000339,CUST-00280,PROD-0067,2026-04-11,1,168.72,delivered
ORD-000340,CUST-00637,PROD-0063,2025-04-04,1,149.69,delivered
ORD-000341,CUST-00483,PROD-0094,2025-08-06,1,111.5,delivered
ORD-000342,CUST-00909,PROD-0099,2025-01-22,1,236.54,delivered
ORD-000343,CUST-00111,PROD-0048,2025-02-21,1,398.28,returned
ORD-000344,CUST-00866,PROD-0063,2025-12-08,1,149.69,processing
ORD-000345,CUST-00139,PROD-0078,2025-09-07,1,209.25,delivered
ORD-000346,CUST-00996,PROD-0012,2025-05-09,4,405.0,delivered
ORD-000347,CUST-00435,PROD-0028,2026-08-02,4,533.12,delivered
ORD-000348,CUST-00509,PROD-0044,2025-07-30,1,443.04,delivered
ORD-000349,CUST-00273,PROD-0093,2025-03-12,2,773.62,delivered
ORD-000350,CUST-00099,PROD-0043,2026-07-22,1,194.98,processing
ORD-000351,CUST-00764,PROD-0017,2025-08-01,1,289.95,delivered
ORD-000352,CUST-00850,PROD-0040,2025-08-10,1,363.98,delivered
ORD-000353,CUST-00104,PROD-0049,2025-08-27,3,597.72,shipped
ORD-000354,CUST-00214,PROD-0085,2025-12-03,3,1322.55,cancelled
ORD-000355,CUST-00761,PROD-0057,2025-06-01,1,332.4,returned
ORD-000356,CUST-00664,PROD-0087,2025-01-03,1,67.3,delivered
ORD-000357,CUST-00762,PROD-0084,2025-10-11,1,218.42,delivered
ORD-000358,CUST-00787,PROD-0064,2025-05-29,1,218.37,delivered
ORD-000359,CUST-00165,PROD-0075,2025-05-14,1,117.06,delivered
ORD-000360,CUST-00999,PROD-0057,2026-07-08,1,332.4,returned
ORD-000361,CUST-00853,PROD-0098,2025-09-14,2,632.08,delivered
ORD-000362,CUST-00520,PROD-0074,2025-06-28,1,56.08,delivered
ORD-000363,CUST-00284,PROD-0074,2025-04-23,3,168.24,delivered
ORD-000364,CUST-00517,PROD-0070,2025-01-27,2,317.64,delivered
ORD-000365,CUST-00657,PROD-0100,2025-05-15,1,145.73,returned
ORD-000366,CUST-00613,PROD-0088,2025-01-16,2,616.34,delivered
ORD-000367,CUST-00164,PROD-0076,2026-01-02,2,148.36,delivered
